seqOrderInfo,seqOrderPass,price,salePrice,sumCardAmount,sumCashAmount,sumTransferAmount,paymentAmount,receivables,paymentDatetime
1,1,30000,30000,12000,0,0,12000,18000,2023-03-03T10:30
1,2,17000,17000,12000,0,0,0,17000,2023-03-03T10:30
1,3,15000,15000,12000,0,0,0,15000,2023-03-03T10:30
1,4,24000,24000,12000,0,0,0,24000,2023-03-03T10:30
1,1,30000,30000,12000,0,11000,23000,7000,2023-04-03T10:30
1,2,17000,17000,12000,0,11000,0,17000,2023-04-03T10:30
1,3,15000,15000,12000,0,11000,0,15000,2023-04-03T10:30
1,4,24000,24000,12000,0,11000,0,24000,2023-04-03T10:30
1,1,30000,30000,12000,31000,11000,30000,0,2023-05-03T10:30
1,2,17000,17000,12000,31000,11000,17000,0,2023-05-03T10:30
1,3,15000,15000,12000,31000,11000,7000,8000,2023-05-03T10:30
1,4,24000,24000,12000,31000,11000,0,24000,2023-05-03T10:30
